license_number,public_name,vendor_id,name_source,is_public_dispensary,city,state
C10-0001524-LIC,Pauwels Cannabis,91a8e057-038b-40dd-93ba-7c43c4720eaf,name_column,yes,Los Angeles,CA
C10-0001525-LIC,Off the Charts,eee0d36d-1a01-436b-88ac-bf760f4aa2ad,name_column,yes,Manteca,CA
C10-0001527-LIC,The Cure Company Pico,d6cc25a6-2a8e-4cbe-be6c-8bbffb133949,name_column,yes,Los Angeles,CA
C10-0001528-LIC,Green Qween Sherman Oaks LLC,cea54084-31e6-4d61-a8eb-35cc97f61c3d,name_column,yes,Sherman Oaks,CA
C10-0001529-LIC,"CLOVEST RETAIL 6563, LLC",571a9f04-274d-4250-937b-1225cd2b3725,name_column,yes,Los Angeles,CA
C10-0001530-LIC,WOODLAND CANNABIS DISPENSARY,f19434ef-92b6-4b92-afb3-51a4397b5600,name_column,yes,Woodland,CA
C10-0001531-LIC,Flavors of Antioch,f1874993-6914-4817-8762-e1e01d15b226,name_column,yes,Antioch,CA
C10-0001532-LIC,The Dispensary,52546973-8943-4457-9bcd-77d4a352b3f6,name_column,yes,Fort Bragg,CA
C10-0001533-LIC,THE JOINT,56eb319a-47f4-4651-a4e2-e5c214d5ca29,name_column,yes,Cathedral CTY,CA
C10-0001534-LIC,Wellgreens Dispensary,bbc23a27-430f-4d80-bb38-8c034751b88b,name_column,yes,La Mesa,CA
C10-0001535-LIC,Perfect Union,e90d040b-9acf-4269-bdc8-20a7d30da71b,name_column,yes,Woodland,CA
C10-0001536-LIC,Off the Charts,c9b0f9c8-00b9-4829-b837-cf200fe97d24,name_column,yes,Monterey,CA
C10-0001537-LIC,The Coughy Shop II,13fe04e2-f42c-473e-b37b-84baa99933b0,name_column,yes,Desert Hot Springs,CA
C10-0001539-LIC,BUZZ Cannabis,41583218-aac0-4065-8f88-4257123a7724,name_column,yes,Lemon Grove,CA
C10-0001540-LIC,Olimpya,e0110aef-79ae-49c0-9fd7-d44d6487dc35,name_column,yes,Los Angeles,CA
C10-0001541-LIC,CCSea LLC,f13f7203-698b-4767-947c-3eef09e85473,name_column,yes,Seaside,CA
C10-0001542-LIC,PLNTBSD,75b2224c-2f63-45c8-8b22-91f591235c4c,name_column,yes,Los Angeles,CA
C10-0001543-LIC,Nectar,d74d15e1-cebb-4ed4-a795-e2001b06f487,name_column,yes,Manteca,CA
C10-0001544-LIC,Off the Charts,d67073a1-af1f-4d52-a6f0-a695bdaf2019,name_column,yes,National City,CA
C10-0001550-LIC,Status IE LLC,6aa9fe31-2945-41dc-a399-f18198b30c96,name_column,yes,Adelanto,CA
C10-0001551-LIC,ELEMENT 7 REDWOOD CITY LLC,04bb5929-7473-4fd5-8027-668498c55af2,name_column,yes,Redwood City,CA
