vendor_id,license_number,name_field,legal_entity_from_description,is_public_dispensary,is_live,offers_storefront,offers_delivery,license_status,flags,city,state,slug
98f1b139-8964-4bef-85bd-0f6cdd0072fc,C9-0000215-LIC,"HOMETOWN HEART, INC.","Hometown Heart, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000215-lic
a989de77-9b9f-44c3-a190-84544558fac5,C9-0000217-LIC,Canna-Couriers,Sjc Industries LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000217-lic
c382f2d5-d9fb-4b81-b529-21281dd8ab58,C9-0000247-LIC,Moonflower,Lumalign LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Rafael,CA,ca-uls-c9-0000247-lic
bc72cf6a-d056-48b0-8af5-56dc5416a07f,C9-0000248-LIC,Firefly Marin,Firefly Marin,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Rafael,CA,ca-uls-c9-0000248-lic
62f2ef75-3277-4370-8037-a74602ac79f3,C9-0000265-LIC,"PRIMETIMING, LLC","Primetiming, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000265-lic
3c94dd0a-72c8-42a3-9840-a7a2d3754d60,C9-0000270-LIC,THE GOOD PEOPLE FARMS LLC,The Good People Farms LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Woodland,CA,ca-uls-c9-0000270-lic
ddfcc298-61d0-487d-9f48-b7b150288782,C9-0000278-LIC,Goldy's,Altruism For All,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000278-lic
d9354de5-42a8-45ff-91bf-09b5f5956be4,C9-0000294-LIC,Supreme Greens,Real Industries LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,El Centro,CA,ca-uls-c9-0000294-lic
49750844-665c-4373-a1d4-e1d2973cb7a8,C9-0000295-LIC,"HOMETOWN HEART, INC.","Hometown Heart, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Francisco,CA,ca-uls-c9-0000295-lic
3a3358bc-6a58-406e-a5c2-e00fe27e5d42,C9-0000298-LIC,Eaze,"Clearlake Growth Fund Ii, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Santa Rosa,CA,ca-uls-c9-0000298-lic
